ProductKey,ProductName,SubCategory,Category,StandardCost,Color,ListPrice,DaysToManufacture,ProductLine,ModelName,ProductDescription
1,Adjustable Race,Race Components,Bike Parts,7.28,Black,12.99,0,Mountain,Adjustable Race,High-quality race component for serious bikers.
2,Bearing Ball,Bearings,Bike Parts,1.21,Silver,3.49,0,Mountain,Bearing Ball,Essential for various bike mechanisms.
3,BB Ball Bearing,Bearings,Bike Parts,1.99,Silver,5.99,1,Mountain,BB Ball Bearing,Durable ball bearing for smooth pedaling.
4,Headset Ball Bearings,Bearings,Bike Parts,2.68,Silver,7.99,0,Mountain,Headset Ball Bearings,Provides smooth steering and durability.
5,Blade,Components,Bike Parts,3.45,Silver,9.99,1,Mountain,Blade,Sharp  durable blades for performance enhancement.
6,LL Crankarm,Crankarms,Bike Parts,19.99,Black,49.99,0,Mountain,LL Crankarm,Left crankarm designed for strength and performance.
7,ML Crankarm,Crankarms,Bike Parts,24.99,Black,69.99,0,Mountain,ML Crankarm,Mid-line crankarm for everyday biking needs.
8,HL Crankarm,Crankarms,Bike Parts,34.99,Black,99.99,0,Mountain,HL Crankarm,Heavy-duty crankarm for extreme biking.
9,Chainring Bolts,Chainrings,Bike Parts,0.5,Silver,1.99,0,Mountain,Chainring Bolts,Essential bolts to secure chainrings in place.
10,Chainring Nut,Chainrings,Bike Parts,0.75,Silver,2.99,0,Mountain,Chainring Nut,Secures chainrings to cranksets.
11,Chainring,Chainrings,Bike Parts,11.99,Silver,39.99,0,Mountain,Chainring,Durable chainring for smoother gear changes.
12,Crown Race,Headsets,Bike Parts,2.99,Silver,8.99,0,Mountain,Crown Race,Crown race for headset assembly.
13,Chain Stays,Frame Parts,Bike Parts,14.99,Black,44.99,1,Mountain,Chain Stays,Provides support and strength to the bike frame.
14,Decal 1,Decals,Accessories,0.5,Multi,1.99,0,Mountain,Decal 1,Cosmetic decals for bike personalization.
15,Decal 2,Decals,Accessories,0.5,Multi,1.99,0,Mountain,Decal 2,Cosmetic decals for bike personalization.
16,Down Tube,Frame Parts,Bike Parts,19.99,Black,59.99,1,Mountain,Down Tube,Critical tube for structural integrity of frames.
17,Mountain End Caps,Frame Parts,Bike Parts,1.99,Black,5.99,1,Mountain,Mountain End Caps,End caps for mountain bike frames.
18,Road End Caps,Frame Parts,Bike Parts,1.99,Black,5.99,1,Road,Road End Caps,End caps for road bike frames.
19,Touring End Caps,Frame Parts,Bike Parts,1.99,Black,5.99,1,Touring,Touring End Caps,End caps suitable for touring bikes.
20,Fork End,Fork Components,Bike Parts,3.99,Black,11.99,1,Mountain,Fork End,Durable fork end for stability and performance.
21,Freewheel,Drivetrain Components,Bike Parts,14.99,Silver,44.99,0,Mountain,Freewheel,Essential component for rear gear mechanisms.
22,Flat Washer 1,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Flat Washer 1,Flat washers for various bike assemblies.
23,Flat Washer 6,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Flat Washer 6,Flat washers for various bike assemblies.
24,Flat Washer 2,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Flat Washer 2,Flat washers for various bike assemblies.
25,Flat Washer 9,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Flat Washer 9,Flat washers for various bike assemblies.
26,Flat Washer 4,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Flat Washer 4,Flat washers for various bike assemblies.
27,Flat Washer 3,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Flat Washer 3,Flat washers for various bike assemblies.
28,Flat Washer 8,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Flat Washer 8,Flat washers for various bike assemblies.
29,Flat Washer 5,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Flat Washer 5,Flat washers for various bike assemblies.
30,Flat Washer 7,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Flat Washer 7,Flat washers for various bike assemblies.
31,Fork Crown,Fork Components,Bike Parts,4.99,Black,14.99,1,Mountain,Fork Crown,Strengthens and stabilizes the fork.
32,Front Derailleur Cage,Derailleurs,Bike Parts,5.99,Silver,17.99,0,Mountain,Front Derailleur Cage,Guides the chain through the gears.
33,Front Derailleur Linkage,Derailleurs,Bike Parts,3.99,Silver,11.99,0,Mountain,Front Derailleur Linkage,Connects the derailleur to gear shifters.
34,Guide Pulley,Pulleys,Bike Parts,1.99,Silver,5.99,0,Mountain,Guide Pulley,For rear derailleur systems.
35,LL Grip Tape,Grip Tape,Accessories,3.99,Black,11.99,0,Mountain,LL Grip Tape,Comfort grip tape for handlebars.
36,ML Grip Tape,Grip Tape,Accessories,5.99,Black,17.99,0,Mountain,ML Grip Tape,Mid-level grip tape for handlebars.
37,HL Grip Tape,Grip Tape,Accessories,7.99,Black,23.99,0,Mountain,HL Grip Tape,High-quality grip tape for ultimate control.
38,Thin-Jam Hex Nut 9,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Hex Nut 9,Essential nut for various assemblies.
39,Thin-Jam Hex Nut 10,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Hex Nut 10,Essential nut for various assemblies.
40,Thin-Jam Hex Nut 1,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Hex Nut 1,Essential nut for various assemblies.
41,Thin-Jam Hex Nut 2,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Hex Nut 2,Essential nut for various assemblies.
42,Thin-Jam Hex Nut 15,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Hex Nut 15,Essential nut for various assemblies.
43,Thin-Jam Hex Nut 16,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Hex Nut 16,Essential nut for various assemblies.
44,Thin-Jam Hex Nut 5,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Hex Nut 5,Essential nut for various assemblies.
45,Thin-Jam Hex Nut 6,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Hex Nut 6,Essential nut for various assemblies.
46,Thin-Jam Hex Nut 3,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Hex Nut 3,Essential nut for various assemblies.
47,Thin-Jam Hex Nut 4,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Hex Nut 4,Essential nut for various assemblies.
48,Thin-Jam Hex Nut 13,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Hex Nut 13,Essential nut for various assemblies.
